"Registro ANS";"CNPJ";"Razão Social";"Nome Fantasia";"Modalidade";"Logradouro";"Número";"Complemento";"Bairro";"Cidade";"UF";"CEP";"DDD";"Telefone";"Fax";"Endereço eletrônico";"Representante";"Cargo Representante";"Data Registro ANS"
"423246";"46029495000182";"BKR ADMINISTRADORA DE BENEFICIOS LTDA";"BKR SAÚDE";"Administradora de Benefícios";"Praça Presidente Getúlio Vargas";"35";"Sala 119 e 120 - Edificio Jusmar";"Centro";"Vitória";"ES";"29010350";"27";"33761709";"";"adm@bkrsaude.com.br";"SIMÔNIA RIBEIRO MACHADO";"Administrador";"18/05/2022"
"419222";"11962397000119";"BR ADMINISTRADORA DE BENEFÍCIOS LTDA.";"";"Administradora de Benefícios";"RUA ROBERTO SIMONSEN";"94";"";"SÉ";"São Paulo";"SP";"01017020";"11";"21329100";"21329136";"tc-santana@uol.com.br";"TEREZA CRISTINA OLIVEIRA SANTANA";"SÓCIA-ADMINISTRADOR";"18/12/2013"
"421715";"15011651000154";"BRADESCO SAÚDE - OPERADORA DE PLANOS  S/A";"";"Medicina de Grupo";"AVENIDA ALPHAVILLE";"779";"17º ANDAR, SALA 1701-PARTE";"DEZOITO DO FORTE EMPRESARIAL/A";"Barueri";"SP";"06472900";"21";"25031076";"25031329";"flavio.bitter@bradescoseguros.com.br";"FLÁVIO BITTER";"Diretor Gerente";"29/04/2019"
"005711";"92693118000160";"BRADESCO SAÚDE S.A.";"BRADESCO SAUDE S.A.";"Seguradora Especializada em Saúde";"AVENIDA RIO DE JANEIRO";"555";"SALAS 801, 901, 1001, 1101, 1201, 1301, ";"CAJU";"Rio de Janeiro";"RJ";"20931675";"21";"31666000";"25031329";"flavio.bitter@bradescoseguros.com.br";"FLAVIO BITTER ";"Diretor Gerente";"16/12/1998"
"421561";"31596055000130";"BRASIL ODONTO OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";"BRASIL ODONTO PLANO DE SAUDE";"Odontologia de Grupo";"Q.603 SUL AVENIDA LO 13";"13";"";"PLANO DIRETOR SUL";"Palmas";"TO";"77016338";"63";"999629224";"";"brasilodonto.adm@gmail.com";"EDUARDO NASCIMENTO DE OLIVEIRA";"SÓCIO-ADMINISTRADOR";"05/04/2019"
"419419";"19962272000109";"BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.";"";"Odontologia de Grupo";"AV. MARCOS PENTEADO DE ULHÔA RODRIGUES";"939";"14º PAVIMENTO, PARTE";"TAMBORé";"Barueri";"SP";"06460040";"11";"4878887048786917";"";"LBLANCO@ODONTOPREV.COM.BR";"JOSÉ ROBERTO BORGES PACHECO";"REPRESENTANTE";"27/06/2014"
"419613";"14838567000146";"BRAZIL DENTAL OPERADORA DE PLANOS ODONTOLÓGICOS LTDA";"BRAZIL DENTAL";"Odontologia de Grupo";"RUA DA CONSOLAÇÃO";"1681";"3º ANDAR - CONJUNTO 31";"CONSOLAÇÃO";"São Paulo";"SP";"01301100";"11";"30176078";"";"cicasimoes@terra.com.br";"CECÍLIA MONTALVÃO SIMÕES";"SóCIA-ADMINISTRADORA";"13/11/2014"
"417238";"01838723000127";"BRF S/A";"BRF - BRASIL FOODS S/A";"Autogestão";"RUA JORGE TZACHEL";"475";"";"FAZENDA";"Itajaí";"SC";"88301600";"41";"34017193";"";"ouvidoria.autogestao@brf.com";"ADRIANA INÊS PIZZOLATO SAUER";"REPRESENTANTE";"09/04/2010"
"415774";"07844436000106";"CABERJ INTEGRAL SAÚDE S.A";"";"Medicina de Grupo";"AVENIDA ERNANI DO AMARAL PEIXOTO";"467";"SALA 1411 - PARTE";"CENTRO";"Niterói";"RJ";"24020073";"21";"25056446";"";"diretoria@caberj.com.br";"HAROLDO AQUINO FILHO";"REPRESENTANTE LEGAL";"26/09/2006"
"416657";"07027515000124";"CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL";"CAARF";"Autogestão";"RUA ESPÍRITO SANTO";"616";"SALA 1.210   -  12.ª ANDAR";"CENTRO";"Belo Horizonte";"MG";"30160030";"";"";"";"caarf@caarf.org.br";"SEBASTIANA TEODORO MARTINS";"DIRETORA  PRESIDENTE";"14/04/2008"
"327557";"83937631000169";"CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC";"CASACARESC";"Autogestão";"Rod Admar Gonzaga";"1347";"SEDE";"ITACORUBI";"Florianópolis";"SC";"88034901";"";"";"";"casacaresc@casacaresc.org.br";"ÚRSULA MARIA LUDWIG MORAES";"GERENTE";"21/12/1998"
"347825";"01052203000194";"CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO";"CAURJ";"Autogestão";"AVENIDA VENCESLAU BRAS";"71";"";"BOTAFOGO";"Rio de Janeiro";"RJ";"22290140";"21";"25420708";"25420708";"administracao@caurj.com.br";"FATIMA VALERIA LIMA JACQUES";"PRESIDENTE";"29/01/1999"
"314251";"02172353000102";"CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE";"CAURN";"Autogestão";"AV. SENADOR SALGADO FILHO";"3000";"UFRN - CENTRO DE CONVIVENCIA - SALA 20";"LAGOA NOVA";"Natal";"RN";"59078900";"84";"33113665";"";"caurn@caurn.com.br";"ELIANA MARIA DOS SANTOS";"SUPERINTENDENTE";"29/12/1998"
"352331";"62231527000184";"CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO";"CABESP";"Autogestão";"RUA BOA VISTA";"293";"";"CENTRO";"São Paulo";"SP";"01014915";"11";"21851130";"21851283";"relacionamento.ans@cabesp.com.br";"MARIA LUCIA ETTORE DO VALLE";"DIRETORA PRESIDENTE";"22/12/1998"
"414026";"78304672000188";"CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU";"CABEFI";"Autogestão";"BR 369, KM 88, RODOVIA MELLO PEIXOTO";"S/N";"";"PARQUE INDUSTRIAL";"Cornélio Procópio";"PR";"86300000";"43";"34011449";"";"convenio@iguacu.com.br";"HAMILTON BAPTISTA JÚNIOR";"DIRETOR GERENTE";"13/07/2001"
"416401";"08097092000181";"CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA";"CASEMBRAPA";"Autogestão";"PARQUE EST. BIOL. - W3 NORTE FINAL";"S/N";"BLOCO A";"ASA NORTE";"Brasília";"DF";"70770901";"61";"34484091";"34484091";"presidencia@casembrapa.org.br";"ALAN AUGUSTO DOS REIS";"PRESIDENTE ";"30/10/2007"
"324361";"42182170000184";"CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ";"";"Medicina de Grupo";"RUA DO OUVIDOR";"91";"2º, 3º,4º E 5º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20040031";"21";"25056446";"25056439";"diretoria@caberj.com.br";"HAROLDO AQUINO FILHO";"DIRETOR EXECUTIVO GERAL";"21/12/1998"
"316873";"73395469000140";"CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE";"CASU/UFMG";"Autogestão";"AV. ANTÔNIO CARLOS";"6627";"LOJA 1 PRAÇA DE SERVIÇOS";"PAMPULHA";"Belo Horizonte";"MG";"31270901";"31";"34997200";"34997200";"casu@casu.com.br";"MARCOS ROBERTO MOREIRA RIBEIRO";"Diretor Presidente";"22/12/1998"
"417661";"11996146000155";"CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO";"FISCO SAÚDE-PE";"Autogestão";"RUA DA AURORA";"1443";"SALA 1";"SANTO AMARO";"Recife";"PE";"50040090";"81";"31267702";"31267711";"fiscosaude@fiscosaudepe.com.br";"JOELMA HELENA DA ROCHA";"GERENTE DE PRODUTOS";"03/12/2010"
"412295";"03702977000149";"CAIXA DE ASSISTÊNCIA À SAUDE DOS EMPREGADOS DA CODEVASF - CASEC";"CASEC";"Autogestão";"SGAN QD. 601 CONJ. I PARTE";"SALA 215";"ED. MANOEL NOVAES";"ASA NORTE";"Brasília";"DF";"70830019";"61";"33236995";"32231848";"casec@codevasf.gov.br";"SELMA FERNANDES RODRIGUES";"PRESIDENTE";"18/09/2000"
"421341";"04574626000162";"CAIXA DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO ESTADO DO MATO GROSSO DO SUL";"UNISAÚDEMS ";"Autogestão";"RUA ABRÃO JÚLIO RAHE";"1440";"";"VILA SILVIA";"Campo Grande";"MS";"79020190";"";"";"";"regulacao@unisaudems.org.br";"ZENILDO PEREIRA DANTAS";"DIRETOR PRESIDENTE";"17/07/2018"
"419851";"21205801000163";"CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE";"SINTIMMMEB SAÚDE";"Autogestão";"RUA JOÃO BAUER";"75";"";"CENTRO";"Brusque";"SC";"88350101";"47";"32515900";"";"atendimento@sintimmmebsaude.com.br";"EDUARDO DE SOUZA";"PRESIDENTE";"29/07/2015"
"418820";"27085968000114";"CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO";"CAMARJ";"Autogestão";"RUA DO CARMO";"7";"2º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20011020";"21";"25335995";"";"CAMARJ@CAMARJ.COM.BR";"PAULO VINICIUS COZZOLINO ABRAHÃO";"DIRETOR PRESIDENTE";"25/03/2013"
"413518";"04197511000104";"CAIXA DE ASSISTÊNCIA DO SINDFISCO - CASSIND";"CASSIND";"Autogestão";"RUA JORNALISTA JOÃO BATISTA DE SANTANA";"1914";"";"COROA DO MEIO";"Aracaju";"SE";"49035430";"79";"32551696";"32553525";"cassind@cassind.com.br";"BALBINO JOSÉ SILVA NETO";"REPRESENTANTE";"09/04/2001"
"321869";"31934805000136";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA CEDAE";"CEDAE SAÚDE";"Autogestão";"AV. PRESIDENTE VARGAS";"463";"9º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"21071003";"21";"21267154";"22219201";"asreg@cedaesaude.org.br";"SANDOVAL GOMES DE SENA NETO";"DIRETOR PRESIDENTE";"18/12/1998"
"363855";"37382009000114";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DA SANEAGO";"CAESAN";"Autogestão";"AVENIDA C";"576";"QUADRA A-26 - LOTE 11";"JARDIM GOIÁS";"Goiânia";"GO";"74805070";"62";"32677300";"";"caesan@caesan.com.br";"JOSÉ ROGÉRIO DA SILVA";"DIRETOR PRESIDENTE";"22/12/1998"
"307319";"02315431000172";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANCO DO ESTADO DO RIO GRANDE DO SUL";"CABERGS";"Autogestão";"RUA SIQUEIRA CAMPOS";"736";"11 º AND";"CENTRO";"Porto Alegre";"RS";"90010000";"51";"32629184";"32629184";"decio@cabergs.org.br";"DÉCIO EVERALDINO BRAGA";"GERENTE FINANCEIRO ADMINISTRATIVO";"18/12/1998"
"315583";"15215452000168";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB";"CASSEB";"Autogestão";"RUA METODIO COELHO";"133";"CIDADELA";"PARQUE BELA VISTA";"Salvador";"BA";"40279120";"71";"34440500";"33588852";"casseb@casseb.com.br";"PAULO ROBERTO NOLASCO FARIAS";"PRESIDENTE";"30/12/1998"
"335789";"13086566000120";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE";"CASSE";"Autogestão";"RUA OLÍMPIO DE SOUZA CAMPOS JÚNIOR ";"98A";"DISTRITO INDUSTRIAL DE ARACAJU-DIA";"INÁCIO BARBOSA";"Aracaju";"SE";"49042840";"79";"32184339";"";"casses@banese.com.br";"CAROLINA DA SILVA BEZERRA BEIRAL";"PRESIDENTE";"22/12/1998"
"344184";"33601568000117";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME";"CAEME";"Autogestão";"RUA 262";"84";"QUADRA 111 LOTE 10";"SETOR LESTE UNIVERSITÁRIO";"Goiânia";"GO";"74615300";"62";"32066773";"32066767";"caemego@hotmail.com.br";"HAMILTON BENTO DE OLIVEIRA";"REPRESENTANTE";"16/12/1998"
"343331";"28502128000172";"CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SISTEMA FINANCEIRO BANESTES";"BANESCAIXA";"Autogestão";"AV PRINCESA ISABEL";"574";"10º ANDAR, SL 1001 A 1008";"CENTRO";"Vitória";"ES";"29010931";"27";"33831211";"";"nelson@banescaixa.com.br";"BENEDITO DE JESUS PIMENTEL";"SUPERINTENDENTE";"22/12/1998"
"358754";"04204285000133";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DA AMAZÔNIA - CASF";"";"Autogestão";"AVENIDA GENERALÍSSIMO DEODORO";"1340";"ANDAR 1 e 2";"NAZARÉ";"Belém";"PA";"66035090";"91";"40054300";"32414413";"casf@casf.com.br";"SOFIA LISBOA CARDOSO";"PRESIDENTE";"23/12/1998"
"346659";"33719485000127";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO BRASIL";"CASSI";"Autogestão";"SIG, Quadra 4, Lote ";"575";"---";"ASA SUL";"Brasília";"DF";"70610910";"61";"32125000";"33106944";"planos@cassi.com.br";"DAYLTON JOSE ATAIDE GOMES";"REPRESENTANTE JUNTO À ANS";"29/12/1998"
"385697";"05814777000103";"CAIXA DE ASSISTÊNCIA DOS FUNCIONÁRIOS DO BANCO DO NORDESTE DO BRASIL";"CAMED SAÚDE";"Autogestão";"AV SANTOS DUMONT";"782";"";"CENTRO";"Fortaleza";"CE";"60150160";"85";"40087840";"40087884";"camed@camed.com.br";"OCIONE MARQUES MENDONÇA";"DIRETOR PRESIDENTE";"16/12/1998"
"302627";"35617257000171";"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO";"CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO";"Autogestão";"RUA COMENDADOR BENTO AGUIAR";"270";"";"MADALENA";"Recife";"PE";"50750390";"81";"32277681";"";"campe@hotlink.com.br";"ARNÓBIO AMORIM ARAÚJO JÚNIOR";"DIRETOR ADMINISTRATIVO";"17/12/1998"
"413534";"04311093000126";"CAIXA DE ASSISTENCIA DOS SERVIDORES DO ESTADO DE MATO GROSSO DO SUL";"CASSEMS";"Autogestão";"RUA ANTONIO MARIA COELHO";"6065";"";"VIVENDAS DO BOSQUE";"Campo Grande";"MS";"79021170";"67";"33141054";"33141046";"juridico@cassems.com.br";"RICARDO AYACHE";"PRESIDENTE CONS. ADMINISTRAÇÃO";"16/04/2001"
"359122";"63367700000139";"CAIXA DE ASSISTÊNCIA DOS SERVIDORES FAZENDÁRIOS ESTADUAIS";"CAFAZ";"Autogestão";"AV. FRANCISCO SÁ";"1733";"";"JACARECANGA";"Fortaleza";"CE";"60010450";"85";"31012636";"32385422";"cafaz@cafaz.org.br";"MARIA IVANY GOMES ARAÚJO";"PRESIDENTE";"22/12/1998"
"417548";"03033006000153";"CAIXA DE ASSISTÊNCIA OSWALDO CRUZ";"FIOSAÚDE";"Autogestão";"AV. BRASIL";"4036";"3º ANDAR";"MANGUINHOS";"Rio de Janeiro";"RJ";"21040361";"21";"38650088";"38651805";"fiosaude-ans@fiosaude.org.br";"JOSÉ ANTÔNIO DINIZ DE OLIVEIRA";"REPRESENTANTE";"21/09/2010"
"320820";"00668790000188";"CAIXA DE ASSISTÊNCIA SISTEMA SAÚDE INTEGRAL-SSI SAUDE";"SSI SAÚDE";"Autogestão";"RUA BENTO GONÇALVES";"2764";"";"SÃO PELEGRINO";"Caxias do Sul";"RS";"95020412";"54";"32238577";"32238577";"regulacao-ssi@randon.com.br";"ROSEMARY ARALDI RODRIGUES PISTORELLO";"REPRESENTANTE";"22/12/1998"
"324477";"30036685000197";"CAIXA DE PREVIDÊNCIA E ASSISTÊNCIA DOS SERVIDORES DA FUNDAÇÃO NACIONAL DE SAÚDE - CAPESESP";"CAPESESP";"Autogestão";"AVENIDA MARECHAL CÂMARA";"160";"";"CENTRO";"Rio de Janeiro";"RJ";"20020080";"21";"34791200";"22406459";"presidencia@capesesp.com.br";"JOÃO PAULO DOS REIS NETO";"DIRETOR PRESIDENTE";"17/12/1998"
"312924";"00360305000104";"CAIXA ECONÔMICA FEDERAL";"CAIXA";"Autogestão";"SAS - Q. 05 - LOTES 9/10 - 6º ANDAR";"05";"ED. SEDE II";"ASA SUL";"Brasília";"DF";"70070050";"61";"32068166";"";"SUSAD@caixa.gov.br";"FRANCISCO ASSIS FERREIRA SANCHES LOPES";"SUPERINTENDENTE NACIONAL";"21/12/1998"
"418072";"13223975000120";"CAIXA SEGURADORA ESPECIALIZADA EM SAÚDE S/A";"CAIXA SEGURADORA SAÚDE";"Seguradora Especializada em Saúde";"AVENIDA TAMBORÉ";"267";"14º ANDAR - ED. CANOPUS";"TAMBORÉ";"São Paulo";"SP";"06460000";"11";"49358275";"";"relacionamento.ans@caixaseguradora.com.br";"PAULO OTAVIO SILVA CAMARA";"DIRETOR SUPERINTENDENTE";"05/05/2011"
"319872";"35908607000159";"CAMIM OPERADORA DE PLANO DE SAÚDE LTDA";"CAMIM";"Medicina de Grupo";"ESTRADA INTENDENTE MAGALHÃES";"476";"";"OSWALDO CRUZ";"Rio de Janeiro";"RJ";"21331720";"21";"24535566";"24502405";"operadora@camim.com.br";"ELIANA GALDINO DA SILVA";"SÓCIA ADMINISTRADORA";"06/01/1999"
"417785";"04566215000125";"CAMPEÃ ADMINISTRADORA DE BENEFÍCIOS LTDA.";"";"Administradora de Benefícios";"RUA DESEMBARGADOR WESTPHALEN";"2151";"";"REBOUÇAS";"Curitiba";"PR";"80220030";"41";"30286918";"";"WILLIAM@GRUPOVITAL.COM.BR";"WILLIAM AFONSO ALVES";"SOCIO ADMINISTRADOR";"20/12/2010"
"419265";"17634722000109";"CAPITAL ADMINISTRADORA DE BENEFÍCIOS LTDA.";"CAPITAL ADMINISTRADORA DE BENEFÍCIOS";"Administradora de Benefícios";"SCS QUADRA 05 BLOCO C";"LJ 168";"PARTE A1 GALERIA NOVA OUVIDOR";"ASA SUL";"Brasília";"DF";"70305918";"61";"30419594";"";"XX@XX.XX";"NEY BRANDÃO";"SÓCIO-ADMINISTRADOR";"23/01/2014"
"329665";"00580481000151";"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE";"CAPITAL PREV - FUNDACAO CAPITAL PREVIDENCIA E SAUDE";"Autogestão";"AV. PRINCESA ISABEL";"574";"Sl 1303 a 1314 - BLOCO A - ED. PALAS CEN";"CENTRO";"Vitória";"ES";"29010930";"27";"21223900";"21223931";"faleconosco@faeces.com.br";"ANA CRISTINA MUNHÓS DE SOUZA";"DIRETORA DE SEGURIDADE";"28/12/1998"
"379956";"02725347000127";"CARE PLUS MEDICINA ASSISTENCIAL LTDA.";"CARE PLUS MEDICINA ASSISTENCIAL LTDA.";"Medicina de Grupo";"ALAMEDA MAMORÉ";"687";"12ª ANDAR - CJ 1201 A 1204";"ALPHAVILLE";"Barueri";"SP";"06454040";"11";"41979000";"41979054";"ans@careplus.com.br";"LUIZ ROBERTO FONSECA DE CAMARGO";"DIRETOR PRESIDENTE";"07/01/1999"
"422304";"36263502000152";"CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.";"";"Medicina de Grupo";"Rua da Assembleia";"10";"sala 3516";"CENTRO";"Rio de Janeiro";"RJ";"20011901";"83";"56085622";"";"relacionamento@caringsaude.com.br";"KARLA KALYANNE DE QUEIROZ TEIXEIRA";"ADMINISTRADOR";"16/06/2020"
"327328";"05455431000166";"CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA  LTDA.";"CASA DE SAÚDE NOSSA SENHORA DE FÁTIMA .";"Medicina de Grupo";"R MANOEL INACIO BEZERRA";"89";"";"CENTRO";"Brejo Santo";"CE";"63260000";"88";"35310460";"35310997";"csnsf1@gmail.com";"EDMILSON COSTA  MEDEIRO";"DIRETOR ADMINISTRATIVO";"04/01/1999"
"363766";"31488208000125";"CASA DE SAÚDE SÃO BERNARDO S/A";"SÃO BERNARDO SAÚDE";"Medicina de Grupo";"RUA MADEIRA DE FREITAS";"44";"";"PRAIA DO CANTO";"Vitória";"ES";"29055320";"27";"21012847";"";"ans@saobernardo.com";"FÁBIO MINAMISAWA HIROTA";"DIRETOR PRESIDENTE";"16/12/1998"
"417165";"09114713000150";"CASE - CENTRAL DE ADMINISTRAÇÃO DE PLANO DE SAÚDE LTDA";"CASE SAÚDE";"Administradora de Benefícios";"AVENIDA RIO BRANCO";"81";"16º ANDAR";"CENTRO";"Rio de Janeiro";"RJ";"20040004";"21";"32169292";"32169292";"RAFAEL@CASESAUDE.COM.BR";"RAFAEL SAMPAIO DA MOTTA";"REPRESENTANTE";"12/02/2010"
"423220";"45400278000194";"CATEDRAL ADMINISTRADORA DE BENEFÍCIOS LTDA";"";"Administradora de Benefícios";"R GOIANINHA";"15";"";"NOVA PARNAMIRIM";"Parnamirim";"RN";"59150480";"84";"99104808";"";"contato@catedraladministradora.com.br";"JADEILSON FONSECA DE SOUZA";"SÓCIO ADMINISTRADOR";"05/05/2022"
"415952";"64170517000101";"CDA - ASSISTÊNCIA ODONTOLÓGICA LTDA - EPP";"CDA ASSISTENCIA ODONTOLOGICA LTDA-EPP";"Odontologia de Grupo";"RUA BARÃO DE JAGUARA";"655";"SALA 1006, 1007, 1008 E 1010";"CENTRO";"Campinas";"SP";"13015001";"19";"32346437";"32311588";"cdacampinas@odontocda.com.br";"ANTONIO MARCIO RODRIGUES";"DIRETOR";"08/03/2007"
"311472";"18987107000130";"CEAM BRASIL - PLANOS DE SAÚDE LTDA";"CEAM BRASIL";"Medicina de Grupo";"PRAÇA DR. CARLOS VICTOR";"01";"3º ANDAR, SALA 1";"VARGINHA";"Itajubá";"MG";"37500000";"35";"36298014";"36298040";"contabilidade@ceambrasil.com.br";"LUIZ ARMANDO TEIXEIRA";"PRESIDENTE DO CONSELHO DE ADMINISTRAÇÃO";"18/12/1998"
"418749";"06814351000112";"CEDPLAN SAÚDE LTDA EPP";"";"Medicina de Grupo";"RUA QUINZE DE NOVEMBRO";"126";"LOJA 16";"CENTRO";"Barbacena";"MG";"36200074";"32";"33396250";"";"regulamentacao@cedplan.com.br";"DAVID ALDRIN LOPES CARNEIRO";"SÓCIO-ADMINISTRADOR ";"11/01/2013"
"339270";"42278796000199";"CELULOSE NIPO-BRASILEIRA S/A - CENIBRA";"CENIBRA";"Autogestão";"RODOVIA BR 381 - KM";"172";"CAIXA POSTAL 100 - AGÊNCIA CENIBRA";"PERPETUO SOCORRO";"Belo Oriente";"MG";"35196972";"31";"38295026";"38295218";"comunicacaosocial@cenibra.com.br";"FERNANDO SÉRGIO DA MATA BOREL";"GERENTE DEPARTAMENTO RECURSOS ";"12/01/1999"
"417505";"12055813000168";"CEMIG SAÚDE";"CEMIG SAÚDE";"Autogestão";"AVENIDA BARBACENA";"472";"5º AO 8º E 12º ANDARES";"BARRO PRETO";"Belo Horizonte";"MG";"30190130";"31";"32534923";"32534949";"orgaoregulador@cemigsaude.org.br";"ANDERSON FERREIRA";"REPRESENTANTE";"13/08/2010"
"422436";"04940191000122";"CENIBRA LOGÍSTICA LTDA";"CENIBRA LOG";"Autogestão";"RODOVIA BR 381 KM 172";"S/N";"CAIXA POSTAL  101";"PERPÉTUO SOCORRO";"Belo Oriente";"MG";"35162972";"31";"38295415";"";"beneficioscnblog@cenibra.com.br";"WELINGTON JUNIOR DE OLIVEIRA";"Gerente Financeiro e Admi";"22/10/2020"
"339679";"02812468000106";"CENTRAL NACIONAL UNIMED - COOPERATIVA CENTRAL";"CENTRAL NACIONAL UNIMED";"Cooperativa Médica";"ALAMEDA SANTOS";"1826";"";"CERQUEIRA CÉSAR";"São Paulo";"SP";"01418102";"11";"32687700";"32687625";"compliance@centralnacionalunimed.com.br";"LUIZ PAULO TOSTES COIMBRA";"DIRETOR PRESIDENTE";"17/12/1998"
"417092";"10540020000109";"CENTRAL OPERADORA DE PLANOS DE SAÚDE NORTE-NORDESTE SOCIEDADE COOPERATIVA";"";"Cooperativa Médica";"AV. CARNEIRO DA CUNHA";"55";"";"TORRE";"João Pessoa";"PB";"58040909";"83";"30482710";"30482750";"contato@opsnortenordeste.com.br";"EURACY DE SOUSA BONNER";"DIRETORA PRESIDENTE";"09/09/2009"
"386596";"00366982000130";"CENTRAL REGIONAL DAS COOPERATIVAS MÉDICAS - UNIMED CERRADO";"UNIMED CERRADO";"Cooperativa Médica";"RUA 8 A";"111";"";"SETOR AEROPORTO";"Goiânia";"GO";"74075240";"62";"92883684";"";"danilo.firmino@unimedcerrado.coop.br";"SHIRLEY GONÇALVES DE PÁDUA MIGUEL";"DIRETORA PRESIDENTE";"24/12/1998"
"392804";"00773639000100";"CENTRO CLÍNICO GAÚCHO LTDA";"CENTRO CLÍNICO GAÚCHO";"Medicina de Grupo";"RUA DONA MARGARIDA";"537";"";"NAVEGANTES";"Porto Alegre";"RS";"90240611";"14";"32879212";"32879231";"contatoans@ccgrs.com.br";"LUIZ CELSO DIAS LOPES";"REPRESENTANTE LEGAL";"29/12/1998"
"304212";"92240605000178";"CENTRO CLINICO NH LTDA.";"CENTRO CLINICO NH";"Medicina de Grupo";"RUA LIMA E SILVA";"25";"";"CENTRO";"Novo Hamburgo";"RS";"93310002";"05";"130669378";"130669378";"arthur@centrocliniconh.com.br";"BADIR HASSAN AWAD";"DIRETOR";"25/01/1999"
"415910";"02569472000195";"CENTRO DE ENDOCRINOLOGIA DE JUNDIAÍ S/S LTDA";"IDEAL VIDA E SAUDE";"Medicina de Grupo";"RUA AUGUSTO DA SILVA PALHARES";"105";"";"JARDIM SAO BENTO";"Jundiaí";"SP";"13202510";"11";"46072323";"48163740";"idealvidaesaude@terra.com.br";"RONALDO MOISES";"SOCIO ADMINISTRADOR";"31/01/2007"
"350699";"00950062000164";"CENTRO HOSPITALAR ATIBAIA LTDA.";"CLIMED SAÚDE";"Medicina de Grupo";"RUA BAHIA";"299";"";"RECREIO ESTORIL";"Atibaia";"SP";"12944060";"11";"44121232";"";"juridico@sabinatibaia.com.br";"FRANCISCO ESPINHA NETO";"DIRETOR PRESIDENTE";"24/12/1998"
"408883";"27533116000142";"CENTRO MÉDICO FÁTIMA LTDA";"";"Medicina de Grupo";"RUA DEZENOVE DE FEVEREIRO";"126";"PARTE";"BOTAFOGO";"Rio de Janeiro";"RJ";"22280030";"21";"21368686";"22861250";"atendimento@memorialsaudebotafogo.com.br";"NEMER CHIDID FILHO";"SOCIO ADMINISTRADOR";"13/10/1999"
"314757";"37161015000141";"CENTRO ODONTOLOGICO INTEGRADO EIRELI";"INTERDENTAL";"Odontologia de Grupo";"SRTVS, QUADRA 701-CONJ. E ";"BLOCOS 2/4";"SALAS 207/208 E 209";"ASA SUL";"Brasília";"DF";"70340902";"61";"33212221";"613212221";"adm@interdentaldf.com.br";"ANGELA THAISE FREIRE FERREIRA";"SÓCIO-ADMINISTRADORA";"29/12/1998"
